generation code cost fitness population_size goal_size
0 Wpa%FY=Tj?0Mbo3$%`GO'/q~!  3658.0 20 25
10 +qRB_f4XAjClMXtwJ;FUoo3UP  5661.0 20 25
20 +qiR_f5XAjCl{XtwJ;FUoo3UP  5729.0 20 25
30 8qiR_f5XAjCl{XtwJ;FUoo[UP  5782.0 20 25
40 VqiR_f7XAjCl{itwJ;FUoo3QP  6615.0 20 25
50 Vqil_fQXAjCl{itwJ;(Uoo3QP  6683.0 20 25
60 Vqil_fQ+AjCl{itwJi(UootQP  6821.0 20 25
70 Bqil_fQ+Ajql{itwJi(UootQP  6857.0 20 25
80 BqilqfQ+Aj_l{itwJi(UootQ=  6896.0 20 25
90 BqilqiQ+Aj_l{itwJw(UootQ=  7755.0 20 25
100 BqilqiQ+Ajil{itqJi(UootQ=  7761.0 20 25
110 BqilqiQ+Ajil{itqJi(UootQ;  7763.0 20 25
120 Bqilqij+Ajil{itqJi(UootQ;  7774.0 20 25
130 Bqilqii+Ajil{itq~i(UootQ;  7793.0 20 25
140 Bqilqii+Ajil{itq~i(UodtQ;  7804.0 20 25
150 Bqilqii+Ajil{itqji(UodtQ;  7818.0 20 25
160 Gqilqii+Ajil{itqji(UodtQ;  8673.0 20 25
170 Gqilqii+Ajil{itqji(UodtQ;  8673.0 20 25
180 Gmilqii+Ajiltitqji(Uodt!;  9582.0 20 25
190 Gmilqii+Ajiltitqji(Uodt!;  9582.0 20 25
200 Gmilqii+Ajiltitqji(Uodt!;  9582.0 20 25
210 Gmilqii+Ajiltitqji(Uodt!&  9603.0 20 25
220 Gmilqii+Ajiltitqji(Uodt!&  9603.0 20 25
230 Gmiluii+Ajiltitqji(Oodn!&  9611.0 20 25
240 Gmiluii+Ajiltitqji#Oodn!&  9616.0 20 25
250 Gmiluii+Ajiltitqji#Oodn!&  9616.0 20 25
260 Gmiluii+Ajiltitqji#Oodn!&  9616.0 20 25
270 Gmiluii+Ajiltitqjt#Oodn!&  9625.0 20 25
280 G`iluii+Ajiltitqjt#Oodn!&  9628.0 20 25
290 G`iluii+Ajiltitqjt#Oodn!&  9628.0 20 25
300 G`iluii+Ajintitqjt#Oodn!&  9630.0 20 25
310 G`iluii+AjintiIqjt#Oodn!&  8737.0 20 25
320 G`iluii+Ajintitqjt#Oodn!&  9630.0 20 25
330 G`rluii+Ajintitcjt#Oodn!&  9635.0 20 25
340 G`iluii#Ajintitcjt#Oodn!&  9642.0 20 25
350 G`ilui`#Ajintitcjt#Oodn!&  9645.0 20 25
360 G`ilui`#Ajinsitcjt Oodn!&  10499.0 20 25
370 G`ibui`#Ajinsitcjt Oodn!&  10503.0 20 25
380 Ggibui`#Ajinsitcjt Oodn!/  10497.0 20 25
390 Ggibui`#Ajinsitcjt Oodn!&  10506.0 20 25
400 Ggibui`#Ajinsitcjt Oodn!&  10506.0 20 25
410 Ggobui`#Ajin3itdjs Oodn!&  11300.0 20 25
420 Ggobui`#Ajinsitdjs Oodn!&  11362.0 20 25
430 Ggobui`#Ajinsitdls Oodn!&  11364.0 20 25
440 Ggobui`#Ajinsitdls Oodn!&  11364.0 20 25
450 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
460 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
470 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
480 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
490 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
500 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
510 Ggobti`#Ajinsitdls Oodn!&  12215.0 20 25
520 Ggobti`#Ajgnsitdls Oodn!&  13067.0 20 25
530 Ggobti`#Ajgnsitdls Oodn!&  13067.0 20 25
540 Ggobti`#Ajgnsitdls Oodn!&  13067.0 20 25
550 Ggobti`#Ajgnsitdls Podn!&  13068.0 20 25
560 Ggobti`#Ajgnsitdls Podn!&  13068.0 20 25
570 Ggobti`#Ajgnsitdls Podn!&  13068.0 20 25
580 Ggobti`#Ajgnsitdls PodU!&  13049.0 20 25
590 Ggobti`#Ajgnsitdls Podn!&  13068.0 20 25
600 Ggobti`#Ajgnsitdls Podn!&  13068.0 20 25
610 Ggobti`#Algnsitdls Podn!&  13920.0 20 25
620 Ggobti`#Algnsitdls Podn!&  13920.0 20 25
630 Ggobti`#Algnsitdls Podm!&  13921.0 20 25
640 Ggobti`#Algnsitdls Podm!&  13921.0 20 25
650 Ggobti`#Algnsitdls Podm!&  13921.0 20 25
660 Ggobti`#Algnsitdls Podm!%  13922.0 20 25
670 Ggobti`#AlgnIitdls Podm!%  13882.0 20 25
680 Ggobti`#Algnsitdls Podm!%  13922.0 20 25
690 Ggobti`#Algnsitdls Podm!%  13922.0 20 25
700 Ggobti`#Algnsitdls Podm!%  13922.0 20 25
710 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
720 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
730 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
740 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
750 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
760 Ggobti`#Algnsitfls Podm!%  13924.0 20 25
770 Ggobtib#Algnsitfls Podm!%  13926.0 20 25
780 Ggobtib#Algnsitfls Podm!%  13926.0 20 25
790 Ggobtib#Algnsitils Podm!%  13927.0 20 25
800 Ggovtib#Algnsitfls Qodm!%  13913.0 20 25
810 Ggobtib#Algnsitfls Qodm!%  13927.0 20 25
820 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
830 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
840 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
850 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
860 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
870 Ggobtib"Algnsitfls Qodm!%  13928.0 20 25
880 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
890 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
900 Geobtib"Algnsitfls Qo\m!%  14774.0 20 25
910 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
920 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
930 Geobtib"Algnsitfl> Qodm!%  13877.0 20 25
940 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
950 Geobtib"Algnsitfls Qodm!%  14780.0 20 25
960 Geobtib"Algositfls Qodm!%  15631.0 20 25
970 Geobtib"Algositfls Qodm!   15634.0 20 25
980 Geobtib"Algositfls Qodm!   15634.0 20 25
990 Geobtib"Algositfls Qodm!   15634.0 20 25
1000 Geobtib"Algositfls Qodm!   15634.0 20 25
1010 Geobtib"Algositfls Qodm!   15634.0 20 25
1020 Geobtit"Algositfls Qodm!   15618.0 20 25
1030 Geobtib"Algositfls Qodm!   15634.0 20 25
1040 Geobtib"Algositfls Qodm!   15634.0 20 25
1050 Geobtib"Algositfls Qodm!   15634.0 20 25
1060 Geobtib"Algositfls Qodm!   15634.0 20 25
1070 Geobtib"Algositfls Qodm!   15634.0 20 25
1080 Geodtib"Algositfls Qodm!   15636.0 20 25
1090 Geodtib"Algositfls Qodm!   15636.0 20 25
1100 Geodtib"Algositfls Qodm!   15636.0 20 25
